Movie ID,Movie name,Movie Genre,actorFirst,actorLast,Movie Duration,Language,Year
1,Dune,Action,Timothee ,Chalamet, 2h 46min,English,2024
2,Spaceman,Science Fiction,Adam ,Sandler,1h 48min,English,2024
3,PoorThings,Science Fiction,Emma ,Stone,2h 21min,English,2024
4,Inception,Adventure,Leonardo,DiCaprio,2h 28min,English,2010
5,Interstellar,Science Fiction,Jonathan,Nolan,2h 49min,English,2014
